Topic,Count,Name
121,32,121_tunnel_road_brahmaputra_km
122,31,122_pm_abul_aimim_shaved
123,31,123_sara_dutertecarpio_duterte_marcos
124,31,124_lockdown_june_complete_days
125,31,125_immigration_illegal_deportations_border
126,31,126_irani_smriti_mohamed_ammar
127,31,127_ventilators_cupboards_16000_bare
128,31,128_crocodile_elephants_elephant_lake
129,30,129_falso_kipchoge_eliud_alderfer
130,30,130_abscbn_incurred_franchise_network
131,30,131_evms_evm_seized_bjp
132,29,132_adityanath_yogi_poster_lady
133,28,133_caa_nrc_jashodaben_rally
134,28,134_queen_elizabeth_ii_beach
135,28,135_deal_green_new_immoral
136,28,136_messi_messis_lionel_fifa
137,28,137_china_travel_restrictions_experts
138,28,138_modi_pm_clapping_modis
139,27,139_philippines_cases_covid19_vaccination
140,27,140_hiv_arv_blood_aids
141,27,141_5g_technology_birds_linked
142,27,142_dominion_systems_voting_machines
143,27,143_mobile_sms_sim_phones
144,27,144_hunter_daughternewsomes_marketing_cousin
145,27,145_evers_tony_gov_bloomberg
146,27,146_google_bing_warranted_facilitate
147,27,147_sides_military_fine_farright
148,26,148_check_fact_sample_this
149,26,149_imran_khan_bharatjodoyatra_feature
150,26,150_protester_capitol_bricks_pushed
151,25,151_pacquiao_manny_online_makati
152,25,152_banks_rbi_loans_closed
153,25,153_kris_jobless_aquino_filipinos
154,25,154_digital_quote_attributed_card
155,25,155_laptops_shopify_free_offering
156,25,156_201314_kms_201718_km
157,25,157_allegiance_pledge_god_joe
158,25,158_infrastructure_farms_dairy_fully
159,25,159_robbery_waterways_kibokoni_brisbane
160,24,160_khan_shahrukh_institutions_pathaan
161,24,161_quran_jihadi_crpf_priest
162,24,162_ramadoss_radhakrishnan_pon_anbumani
163,24,163_veterans_defunding_charity_precedent
164,24,164_colleges_medical_10th_exams
165,24,165_cloud_skeleton_discovered_giant
166,24,166_gst_crore_rs_diesel
167,24,167_australia_wildfires_fires_ironwood
168,23,168_newspaper_page_front_standard
169,23,169_banerjee_mamata_mamta_nandigram
170,23,170_dancing_puja_pakistan_durga
171,23,171_cyclone_fani_yaas_nivar
172,23,172_nc_911_controversial_memorial
173,23,173_pelting_stone_stones_express
174,22,174_fentanyl_drug_drugs_border
175,22,175_french_lockdown_police_video
176,22,176_1000_10000_hp_laptops
177,22,177_warming_ice_climate_global
178,22,178_ghost_hospital_fire_park
179,22,179_hontiveros_risa_corporation_philippine
180,22,180_budget_spends_largest_dad
181,21,181_nirav_nitish_modi_flee
182,21,182_upadhyay_anil_mla_bjp
183,21,183_ocasiocortez_alexandria_abortionrights_rep
184,21,184_train_crowded_tallest_sharmik
185,21,185_tala_branch_defaulters_loan
186,21,186_asdfasdflkajklagi99wg_asdfgsahgsagasr_howdy_asgash
187,21,187_ranara_jullebee_migrant_filipino
188,20,188_republican_sinema_kyrsten_94
189,20,189_wall_miles_border_built
190,20,190_something_soudns_this_thign
191,20,191_inflation_insurance_option_sen
192,20,192_processing_prices_virginia_gas
193,19,193_xenophobic_travel_hysterical_japan
194,19,194_fauci_anthony_dr_maxwells
195,19,195_missing_boy_girl_child
196,19,196_crime_violent_cities_percent
197,19,197_iran_nuclear_expires_defective
198,19,198_bjp_mla_boom_documentary
199,19,199_arrested_murkomen_interpol_muigai
200,18,200_chandrayaan_photograph_vikram_lander
201,18,201_diabetes_diabetic_insulin_tussle
202,18,202_keystone_pipeline_oil_gas
203,18,203_thing_this_thisi_blog
204,18,204_periyar_47yearold_moinuddin_khaki
205,18,205_brp_build_duterte_pasig
206,18,206_helpline_vehicle_number_7837018555
207,18,207_elon_musk_twitter_meta
208,17,208_kim_convoy_jongun_freedom
209,17,209_statement_sort_unsc_sorts
210,17,210_protesters_capitol_tear_memorial
211,17,211_children_dot_vaxxed_aged
212,17,212_ilhan_omar_rep_911
213,17,213_atm_pin_cancel_pressing
214,17,214_publishes_kenyatta_uae_kenyans
215,17,215_index_climbed_rank_global
216,17,216_httpsdpafactcheckingcomgermany21120299227759_httpsdpafactcheckingcomaustria22080399260511_httpsverafilesorgarticlesverafilesfactcheckmisleadingpoststatepasigriverunde_httpsdrivegooglecomfiled1tfc7xgh4tffkwfrqb3fpmc2rxtmcnwviewuspsharing
217,17,217_kenyatta_kenya_stupor_kenyas
218,16,218_birth_babies_gives_17
219,16,219_dmk_thirumavalavan_govnt_injunction
220,16,220_wrench_framed_cosby_nbc
221,16,221_bridge_siaya_makeshift_ugenya
222,16,222_something_another_or_anotehr
223,16,223_rss_dalit_men_uniform
224,16,224_medicare_cut_mehmet_supports
225,16,225_microchips_microchip_magnets_magnet
226,16,226_reddy_mandram_ttd_makkal
227,16,227_passes_tamizhachi_away_actor
228,16,228_el_contra_vacina_vacunas
229,15,229_cure_madagascar_remedy_covidorganics
230,15,230_late_dance_pakistans_singing
231,15,231_mandir_incarnate_pussies_thereirony
232,15,232_railways_holidays_01_ticket
233,15,233_pulwama_mosques_attack_christchurch
234,15,234_rss_attacked_muslim_kashmiri
235,15,235_bidenbernie_unity_platform_warnock
236,15,236_marry_mswati_namaz_men
237,14,237_largest_economy_india_third
238,14,238_osochic_tamsin_kittens_ragdolls
239,14,239_seeman_edappadi_dated_palanisamy
240,14,240_swine_mitigation_models_disaster
241,14,241_cleanest_sicker_dirtier_suicides
242,14,242_nasa_earth_bennu_asteroid
243,14,243_yogi_crackers_yogis_yogijis
244,14,244_earmarked_integrity_demolition_saudi
245,13,245_airport_international_ninoy_naia
246,13,246_noodles_instant_cause_trigger
247,13,247_closet_wrangler_hiphop_bedridden
248,13,248_adam_schiff_witness_testify
249,13,249_organs_meat_transplant_organ
250,13,250_rockets_toward_iranian_iraq
251,13,251_documents_classified_speechless_residence
252,13,252_numbers_deaths_model_testing
253,13,253_canine_coronavirus_jkuat_novel
254,12,254_whitmer_gretchen_biden_birch
255,12,255_exposed_blood_defectiveness_skews
256,12,256_kenya_59_patient_dettol
257,12,257_yoga_girls_saudi_arabia
258,12,258_matter_lives_black_donations
259,12,259_plants_michigan_factories_built
260,12,260_filibuster_54_senate_lets
261,12,261_martyred_gate_shivnath_anitha
262,12,262_phone_mobile_phones_bluetooth
263,12,263_dmk_card_rice_sacks
264,12,264_rohingya_jammu_kachcha_hackled
265,11,265_burger_noncompete_mcdonalds_clauses
266,11,266_gerald_bantag_corrections_bureau
267,11,267_betting_virtual_sports_races
268,11,268_airstrike_grave_pakistan_indian
269,11,269_zindabad_jafrabad_pakistan_mishra
270,11,270_fighter_jet_russian_ukrainian
271,11,271_rahul_gandhi_columbian_brat
272,11,272_heaven_zimbabwean_kenya_tickets
273,11,273_sanctuary_mccready_dan_believes
274,11,274_bumps_birthday_dies_friends
275,11,275_watch_watches_bergstrom_love
276,11,276_kashmir_prince_ki_jk
277,10,277_language_sati_sitharaman_nirmala
278,10,278_kenyans_wrc_demonstrating_mud
279,10,279_volodymyr_suspended_russian_vladimir
280,10,280_likoni_truck_retrieved_channel
281,10,281_stone_vowing_insurgence_knighted
282,10,282_chanted_america_moment_agreement
