,claim,url
19,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,https://www.politifact.com/factchecks/2022/nov/03/viral-image/story-about-tiktok-dances-help-ukraine-satire/
20,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",https://www.politifact.com/factchecks/2022/oct/27/viral-image/this-isnt-a-photo-of-russian-soldiers-with-a-bound/
21,Video clips show staged war footage from Ukraine.,https://www.politifact.com/factchecks/2022/oct/26/viral-image/video-clips-mischaracterized-showing-fake-ukraine/
22,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,https://www.politifact.com/factchecks/2022/oct/24/viral-image/no-evidence-cnn-reported-ugandas-president-said-it/
23,"""Tens of Billions of US Dollars Were Transferred to Ukraine and then Using FTX Crypto Currency the Funds Were Laundered Back to Democrats in US.""",https://www.factcheck.org/2022/11/bogus-theory-misinterprets-ftx-support-for-ukraine/
24,32 thousand of our children were trapped in Ukraine. PM Modi called Putin & Zelensky and stopped the war. Children were evacuated from Ukraine and brought back to India. – Mr. @JPNadda,https://en.youturn.in/factcheck/modi-russia-ukraine-war-stop.html
25,"Terrifyingly precise ambush

#Ukraine is hunting #Russian tanks with American FGM-148 Javelin missiles. Have to see to believe it.",http://en.youturn.in/factcheck/simulation-video-as-ukraine-russia-war.html
26,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",https://www.politifact.com/factchecks/2022/nov/03/citizens-sanity/ad-comparing-spending-ukraine-us-children-ridiculo/
27,Ukrainian FGM 148 Javelin Missile Attack On Russian Tanks! (VIDEO),https://srilanka.factcrescendo.com/english/scene-from-an-arma-3-video-game-shared-as-ukrainian-fgm-148-javelin-missile-attack-on-russian-tanks/
28,Ukraine is not a state and is not recognized by the United Nations.,https://dpa-factchecking.com/belgium/221013-99-119194/
29,Vladimir Putin “is fleeing the war!”,https://www.politifact.com/factchecks/2022/sep/29/facebook-posts/no-evidence-putin-abandoning-war-ukraine/
30,“Chinese military convoy enters Ukraine from Russia.”,https://www.politifact.com/factchecks/2022/sep/22/facebook-posts/no-isnt-video-chinas-army-entering-ukraine/
31,Photo shows fighting in Ukraine.,https://www.politifact.com/factchecks/2022/sep/22/viral-image/old-photo-military-exercise-used-illustrate-story-/
32,"“The pope, Xi and Putin all meet to plan world events!”",https://www.politifact.com/factchecks/2022/sep/15/facebook-posts/no-pope-putin-and-xi-didnt-meet-plan-world-events/
33,"GM and Ford vehicles sent to Ukraine were funded with Americans' ""tax dollars.""",https://www.factcheck.org/2022/09/gm-ford-vehicles-were-donated-to-ukraine-by-carmakers/
34,Vladimir Putin has been ambushed and is in serious danger.,https://verafiles.org/articles/vera-files-fact-check-russias-putin-was-not-ambushed
35,Joe Biden threatened to assassinate Ukraine’s former president.,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/biden-didnt-threaten-kill-former-ukrainian-preside/
36,“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”,https://www.politifact.com/factchecks/2022/sep/07/blog-posting/claim-musk-will-supply-hypersonic-jet-ukrainian-wa/
37,"The Russia ""hoax"" that Donald Trump colluded with the Russians during the 2016 campaign was “developed by Hillary Clinton and a group of people.”",https://www.factcheck.org/2022/09/trump-distorts-facts-in-pennsylvania-rally/
38,“US Army in Ukraine.”,https://www.politifact.com/factchecks/2022/aug/24/facebook-posts/no-us-army-forces-arent-ukraine/
39,Ukrainian “attack destroys skyscraper in Moscow.”,https://www.politifact.com/factchecks/2022/jul/07/viral-image/no-ukrainian-attack-didnt-destroy-moscow-skyscrape/
40,“Biden threatens to assassinate Ukraine president.”,https://www.politifact.com/factchecks/2022/jul/21/facebook-posts/no-biden-didnt-threaten-kill-zelenskyy/
41,Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”,https://www.politifact.com/factchecks/2022/jul/19/viral-image/clip-shows-video-game-not-ukrainian-victory-sievie/
42,“Belarus declares war on Poland.”,https://www.politifact.com/factchecks/2022/jul/11/facebook-posts/no-belarus-hasnt-declared-war-poland/
43,“Moscow was engulfed in flames” after a giant explosion.,https://www.politifact.com/factchecks/2022/jul/08/facebook-posts/moscow-wasnt-engulfed-flames/
44,Ukrainian President Volodymyr Zelensky has a monthly income of $11 million.,https://www.factcheck.org/2022/07/social-media-posts-make-unsupported-claims-about-zelenskys-income-net-worth/
45,“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,https://www.politifact.com/factchecks/2022/jul/13/blog-posting/land-documents-claiming-ukrainian-officials-bought/
46,Amazing President Zelensky and his wife,https://cambodia.factcrescendo.com/english/did-president-zelensky-and-his-wife-sing-the-song-endless-love/
47,Heartbreaking video of #Ukrainian Soldier Russia’s Ukraine attack.,https://cambodia.factcrescendo.com/english/scenes-in-a-film-falsely-claimed-the-ongoing-ukraine-russia-crisis/
48,"Update Ukraine has killed 3,500 Russian soldiers when they clashed in a battle along a road. Source: Daily Mail.",https://cambodia.factcrescendo.com/english/bodies-of-mh17-falsely-claimed-as-soldiers-killed-in-ukraine-russia-crisis/
49,Heartbreaking video of #Ukrainian Soldier Russia’s Ukraine attack,https://cambodia.factcrescendo.com/scenes-in-a-film-falsely-claimed-the-ongoing-ukraine-russia-crisis/
50,A Scene of Russian Kinzhal Missile Striking an Ukrainian Underground Arms Depot !!,https://srilanka.factcrescendo.com/english/a-video-created-from-computer-generated-visual-effects-being-shared-as-real-video-russian-missile-strike-to-ukraine/
51,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",https://www.politifact.com/factchecks/2022/jun/15/blog-posting/pentagon-didnt-admit-there-are-46-us-funded-biolab/
52,The official pride flag was altered to include Ukrainian colors.,https://www.politifact.com/factchecks/2022/jun/10/tweets/no-ukrainian-colors-were-not-added-official-pride-/
53,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,https://www.politifact.com/factchecks/2022/may/23/viral-image/video-game-not-combat-ukraine/
54,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,https://www.politifact.com/factchecks/2022/may/20/facebook-posts/no-isnt-real-footage-downed-helicopters-during-amb/
55,A photo of Ukrainians with paintball guns proves the war is staged.,https://www.politifact.com/factchecks/2022/may/19/viral-image/no-photo-ukrainians-training-combat-doesnt-prove-w/
56,"Says Tucker Carlson said, “What if these bodies of tortured, dead civilians were staged? What if they’re fake? What if the Ukrainian military killed them & then blamed Russia? I’m not saying any of this is true, I’m just asking the questions. Why can’t we ask these questions?”",https://www.politifact.com/factchecks/2022/apr/07/tweets/no-tucker-carlson-didnt-say-about-ukraine-staging-/
57,Ukraine is the “money laundering and child sex trafficking capital of the world!”,https://www.politifact.com/factchecks/2022/apr/12/viral-image/no-ukraine-isnt-money-laundering-or-child-sex-traf/
58,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/no-putin-didnt-free-35000-children-ukraine/
59,Photo of unbroken windows proves war in Ukraine is fake.,https://www.politifact.com/factchecks/2022/apr/27/viral-image/no-photo-intact-windows-bucha-doesnt-prove-war-ukr/
60,"Photo of Natasha Perokov, the Ukraine’s first female fighter pilot who died during the war with Russia",https://factly.in/unrelated-visuals-shared-as-ukraines-first-female-pilot-killed-during-the-ongoing-russia-ukraine-conflict/
61,Sweden is transferring a batch of Bofors FF77BW Archer self-propelled artillery units to Ukraine,https://verafiles.org/articles/vera-files-fact-check-sweden-is-not-sending-self-propelled-artillery-to-ukraine
62,“The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.,https://www.politifact.com/factchecks/2022/apr/25/facebook-posts/commemorative-zelenskyy-coins-created-private-gift/
63,Ukraine was responsible for the Kramatorsk train station bombing.,https://www.politifact.com/factchecks/2022/apr/18/facebook-posts/no-evidence-ukraine-attacked-train-station-one-its/
64,"This Video shows the preparation for the next staged ""killing of civilians through russians"".",https://dpa-factchecking.com/germany/220408-99-846761
65,“She [Russian billionaire Elena Baturina] gave him [Hunter Biden] $3.5 million so now I would think [Russian president Vladimir] Putin would know the answer to that. I think he should release it. I think we should know that answer.”,https://www.washingtonpost.com/politics/2022/04/08/unraveling-tale-hunter-biden-35-million-russia/
66,“The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.”,https://www.politifact.com/factchecks/2022/apr/05/tweets/no-nato-allied-land-command-leader-wasnt-captured-/
67,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",https://www.politifact.com/factchecks/2022/apr/04/russian-ministry-defense/russia-pushes-false-crisis-actor-claims-about-vide/
68,"""U.S. President Joe Biden himself is involved in the creation of biolaboratories in Ukraine. An investment fund run by his sun (sic) Hunter Biden funded research and the implementation of the United States’ military biological program.""",https://www.politifact.com/article/2022/apr/01/facts-behind-russian-right-wing-narratives-claimin/
69,"“Putin has the gall to say he’s ‘de-Nazifying’ Ukraine. It’s a lie.""",https://www.factcheck.org/2022/03/the-facts-on-de-nazifying-ukraine/
70,Claim: arma 3 game footage being shared as russian ukraine war visuals,https://tamil.factcrescendo.com/arma-3-game-footage-being-shared-as-russian-ukraine-war-visuals/
71,Claim: 2012 dated video being shared as Russia military equipment being transported to Ukraine,https://tamil.factcrescendo.com/2012-dated-video-being-shared-as-russia-military-equipment-being-transported-to-ukraine/
72,Claim: explainer for the narrative shared about putin mother,https://tamil.factcrescendo.com/explainer-for-the-narrative-shared-about-putin-mother/
73,Claim: different videos being shared as russia ukraine conflict visuals,https://tamil.factcrescendo.com/different-videos-being-shared-as-russia-ukraine-conflict-visuals/
74,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,https://www.politifact.com/factchecks/2022/mar/29/tweets/no-evidence-support-claim-will-smith-chris-rock-co/
75,"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",https://www.politifact.com/factchecks/2022/mar/28/viral-image/no-edmonton-jacket-isnt-proof-cnn-staged-fire-part/
76,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,https://www.politifact.com/factchecks/2022/mar/25/viral-image/supposed-cnn-tweet-about-hotel-altered/
77,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,https://www.politifact.com/factchecks/2022/mar/22/facebook-posts/no-evidence-support-claims-ukraine-killing-people-/
78,Russian President Vladimir Putin “was assassinated.”,https://www.politifact.com/factchecks/2022/mar/21/blog-posting/clickbait-headline-about-vladimir-putins-supposed-/
79,This video shows “Russian war in Ukraine.”,https://www.politifact.com/factchecks/2022/mar/11/viral-image/footage-marines-training-arizona-mischaracterized-/
80,Says Leonardo DiCaprio gave Ukraine $10 million.,https://www.politifact.com/factchecks/2022/mar/11/facebook-posts/no-leonardo-dicaprio-didnt-give-10-million-ukraine/
81,Photo shows a Russian tank Ukrainians are selling on eBay.,https://www.politifact.com/factchecks/2022/mar/04/viral-image/no-isnt-photo-russian-tank-sale-ebay/
82,"""Hunter Biden’s Rosemont Seneca investment fund financed the Pentagon’s military biological program in Ukraine.""",https://www.washingtonpost.com/politics/2022/03/29/truth-about-hunter-biden-ukrainian-bio-labs/
83,A video shows Ukraine President Volodymyr Zelenskyy singing “Imagine” by John Lennon.,https://www.politifact.com/factchecks/2022/mar/28/youtube-videos/does-video-show-zelenskyy-singing-imagine-john-len/
84,Photo posted March 22 on Facebook shows an American fighter jet intercepting a Russian bomber near Alaskan airspace.,https://www.factcheck.org/2022/03/viral-photo-of-russian-bomber-shows-incident-from-2020/
85,The war in Ukraine is “scripted and staged.”,https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/evidence-russias-war-ukraine-plentiful-and-proves-/
86,Deceased Ukrainian fighter pilot Col. Oleksandr Oksanchenko was the “Ghost of Kyiv.”,https://www.politifact.com/factchecks/2022/mar/14/facebook-posts/ukraine-recognized-downed-pilot-hero-claims-he-was/
87,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/news-video-shot-car-was-filmed-ukraine-not-west-vi/
88,"Viral video shows ""crisis actors"" portraying dead Ukrainian victims of a Russian attack laid out in body bags.",https://www.factcheck.org/2022/03/video-shows-climate-protest-in-austria-not-crisis-actors-in-ukraine/
89,"Ukraine is a country whose ""government only exists because the Obama State Department helped to overthrow the previous regime.""",https://www.factcheck.org/2022/03/marjorie-taylor-greene-parrots-russian-talking-point-on-ukraine/
90,Claim: Austria video falsely shared with Russian Ukraine conflict narrative,https://tamil.factcrescendo.com/austria-video-falsely-shared-with-russian-ukraine-conflict-narrative/
91,Recent video of the face-to-face peace talks held between Ukraine President Volodymyr Zelensky and Russian President Vladimir Putin,https://factly.in/2019-video-shared-as-recent-visuals-of-volodymyr-zelensky-and-vladimir-putin-holding-face-to-face-peace-talks-to-end-the-war/
92,"A photo shows ""NATO resupplying Ukrainian farmers anti-tank supplies.""",https://www.politifact.com/factchecks/2022/mar/18/facebook-posts/viral-image-helicopter-lifting-tractor-does-not-sh/
93,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",https://www.politifact.com/factchecks/2022/mar/18/tulsi-gabbard/tulsi-gabbard-falsely-claims-us-not-so-different-r/
94,Video shows American soldiers arriving in Ukraine,https://verafiles.org/articles/vera-files-fact-check-viral-video-paratroopers-not-american
95,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,https://www.politifact.com/factchecks/2022/mar/16/facebook-posts/ukrainian-boxing-star-auctioned-olympic-gold-medal/
96,“We haven’t seen a single American megachurch offer anything to help Ukrainians.”,https://www.politifact.com/factchecks/2022/mar/16/tweets/american-megachurches-are-offering-support-ukraine/
97,“While Ukrainians bled and died … Congressman Budd excused their killer.”,https://www.factcheck.org/2022/03/tv-ad-features-cherry-picked-comments-from-rep-ted-budd-about-putin/
98,"Photos show Natasha Perakov, a Ukranian former beauty queen who was also the first Ukranian pilot to die in the Ukraine-Russia war after severe injury",https://verafiles.org/articles/vera-files-fact-check-fb-pages-falsely-claim-female-ukrainia
99,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",https://www.politifact.com/factchecks/2022/mar/14/tweets/no-document-doesnt-show-secret-ukrainian-military-/
100,Video of a fake Ukrainian soldier getting blood makeup,https://factly.in/a-bts-clip-of-a-show-contamin-is-being-shared-as-a-fake-ukrainian-soldier-getting-blood-makeup/
101,"“We haven’t seen a single American mega church offer anything to the Ukrainians.""",https://www.factcheck.org/2022/03/megachurches-in-u-s-are-supporting-ukraine-relief-contrary-to-social-media-posts/
102,"Russian President Vladimir Putin ""banned"" Rothschild-related banks from operating in the country.",https://www.factcheck.org/2022/03/rothschild-co-has-office-in-russia-contrary-to-conspiracy-claim-on-social-media/
103,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,https://www.politifact.com/factchecks/2022/mar/08/blog-posting/story-claims-putin-bombed-biden-owned-villa-and-ha/
104,Photo of players from Dynamo football club who wore military uniform to fight in the ongoing war in Ukraine,https://factly.in/the-photo-does-not-show-players-from-ukraines-football-club-donning-military-gear/
105,‘Either Russia will be at the World cup 2022 or there will be no World cup’ – Vladimir Putin,https://factly.in/no-putin-did-not-respond-to-the-suspension-of-the-russian-football-team-as-claimed-in-this-post/
106,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/these-photos-molotov-cocktails-are-2014-protests-k/
107,Video shows a Ukrainian fighter pilot shooting down a Russian plane.,https://www.politifact.com/factchecks/2022/feb/28/facebook-posts/ghost-kyiv-clip-video-game-not-video-fighting-ukra/
108,Video shows a ravaged city in Ukraine amid the current invasion by the armed forces of Russia,https://factly.in/video-related-to-the-2020-beirut-explosion-is-being-shared-as-recent-visuals-from-ukraine/
109,Hunter Biden’s payments from the Ukrainian oil and gas company Burisma Holdings ended with the Russian invasion of Ukraine.,https://www.factcheck.org/2022/03/hunter-biden-left-ukrainian-company-in-2019-contrary-to-ted-nugent-post/
110,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/no-woman-driving-armored-vehicle-isnt-ukrainian-sh/
111,Video of a weapon system successfully gunning down a fighter jet shows an incident in the ongoing Russia-Ukraine conflict.,https://verafiles.org/articles/vera-files-fact-check-video-game-footage-given-false-ukraine
112,"""The Russian army does not occupy Ukrainian territory.""",https://www.politifact.com/factchecks/2022/mar/03/russian-embassy-canada/russias-pants-fire-claim-it-not-occupying-ukrainia/
113,The calculations show a similar pattern in the dates on which the two World Wars and the Russia-Ukraine war began,https://factly.in/the-date-of-the-first-world-war-taken-in-this-post-is-not-correct-also-one-calculation-is-tweaked/
114,Video depicting western media showing fake dead bodies of Ukrainian citizens,https://factly.in/video-report-about-a-climate-change-protest-is-shared-as-western-media-showing-fake-dead-bodies-of-ukrainian-citizens/
115,Recent video of Russian President Putin avoiding his Presidential motorcade and walking alone after a press conference,https://factly.in/old-video-of-putin-walking-alone-on-the-streets-is-passed-off-as-a-recent-one/
116,Video of Vladimir Putin interacting with the evacuated Indian nationals from Ukraine,https://factly.in/no-this-video-does-not-show-vladimir-putin-interacting-with-the-indian-nationals-being-evacuated/
117,"“Putin has ordered his military to seek and destroy US-Deep State bio-labs"" in Ukraine.",https://www.factcheck.org/2022/03/social-media-posts-misrepresent-u-s-ukraine-threat-reduction-program/
118,Video shows a Ukrainian “FA-27” jet being shot down by Russia,https://verafiles.org/articles/vera-files-fact-check-video-falsely-claims-fa-27-jet-shot-do
119,"""Putin’s latest attack on Ukraine was premeditated and totally unprovoked.""",https://www.politifact.com/article/2022/mar/02/fact-checking-joe-bidens-2022-state-union-address/
120,A photo of a wounded young child was captured in Ukraine in 2022.,https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/photo-injured-child-syria-2018-not-russia-ukraine-/
121,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion,https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/social-posts-mislead-sharing-2017-movie-clip-ukrai/
122,Photo of New York’s Statue of Liberty draped in the Ukrainian flag,https://factly.in/picture-of-statue-of-liberty-replica-in-france-shared-as-new-yorks-statue-of-liberty-draped-in-a-ukrainian-flag/
123,Recent painful photos from Ukraine,https://factly.in/these-painful-visuals-do-not-show-the-consequences-of-the-current-russia-ukraine-crisis/
124,Recent pictures of the Russia-Ukraine war,https://factly.in/these-painful-visuals-do-not-show-the-consequences-of-the-current-russia-ukraine-crisis/
125,Recent photo of Ukraine after the Russian attack,https://factly.in/these-painful-visuals-do-not-show-the-consequences-of-the-current-russia-ukraine-crisis/
126,Video confirming that Modi government is going to send Indian soldiers to fight in Ukraine,https://factly.in/indian-government-did-not-say-that-it-wants-to-send-indian-soldiers-to-fight-in-ukraine/
127,"Before and after pictures of the Independence Square in Kyiv, Ukraine after the Russian invasion",https://factly.in/2014-photo-is-shared-as-kyivs-independence-square-after-the-russian-invasion-of-ukraine/
128,Recent photo of two Ukrainian children sending off soldiers to fight the Russians,https://factly.in/old-and-unrelated-visuals-of-different-children-are-being-linked-to-the-russia-ukraine-crisis-2022/
129,Video of a Ukrainian girl standing up to a Russian soldier,https://factly.in/old-and-unrelated-visuals-of-different-children-are-being-linked-to-the-russia-ukraine-crisis-2022/
130,Photo of a girl crying beside a dead body from the recent Russia-Ukraine conflict,https://factly.in/old-and-unrelated-visuals-of-different-children-are-being-linked-to-the-russia-ukraine-crisis-2022/
131,Video of Russian soldiers saving a small child during the battle between the forces of Russia and Ukraine,https://factly.in/old-and-unrelated-visuals-of-different-children-are-being-linked-to-the-russia-ukraine-crisis-2022/
132,Ongoing Russia – Ukraine conflict visuals,https://factly.in/old-and-unrelated-war-visuals-are-passed-off-as-russia-ukraine-conflict-visuals/
133,A photo showing young children saluting troops was captured in Ukraine in 2022.,https://www.politifact.com/factchecks/2022/feb/28/viral-image/photo-children-sending-ukrainian-troops-2016-not-2/
134,"“Also, it was me that got Ukraine the very effective anti-tank busters (Javelins) when the previous Administration was sending blankets.”",https://www.washingtonpost.com/politics/2022/02/28/trumps-effort-rewrite-history-his-support-nato-ukraine/
135,Recent heartbreaking video of Ukrainian soldiers,https://factly.in/some-old-emotional-visuals-are-being-linked-to-the-current-russia-ukraine-crisis/
136,Picture of a child injured in the attacks on Ukraine,https://factly.in/some-old-emotional-visuals-are-being-linked-to-the-current-russia-ukraine-crisis/
137,Picture of the day: A man draped in the Ukrainian flag embraces a woman wearing the Russian flag,https://factly.in/some-old-emotional-visuals-are-being-linked-to-the-current-russia-ukraine-crisis/
138,Video of a Russian fighter jet shot down by Ukrainian Air Defense,https://factly.in/no-these-visuals-of-airstrikes-and-associated-firing-are-not-related-to-the-russia-ukraine-crisis-2022/
139,Video of a Russian aircraft shot down by the Ukraine Military,https://factly.in/no-these-visuals-of-airstrikes-and-associated-firing-are-not-related-to-the-russia-ukraine-crisis-2022/
140,TikTok video shows Russian soldiers parachuting into Ukraine.,https://www.politifact.com/factchecks/2022/feb/25/tiktok-posts/no-tiktok-does-not-show-russian-soldiers-invading-/
141,Photo shows Empire State Building lit up to support Ukraine.,https://www.politifact.com/factchecks/2022/feb/25/tweets/old-photo-empire-state-building-unrelated-ukraine-/
142,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,https://www.politifact.com/factchecks/2022/feb/25/vladimir-putin/putin-repeats-long-running-claim-genocide-ukraine/
143,Video shows footage from Russia invading Ukraine.,https://www.politifact.com/factchecks/2022/feb/25/viral-image/old-footage-russian-planes-mischaracterized-amid-n/
144,"“You can’t say it enough, Ukraine is not a democracy. … In American terms, you would call Ukraine a tyranny.”",https://www.washingtonpost.com/politics/2022/02/24/tucker-carlson-says-ukraine-is-not-democracy-here-are-facts/
145,Recent video of Russia launching an airstrike against Ukraine,https://factly.in/old-unrelated-video-is-shared-as-recent-visuals-of-russia-launching-an-airstrike-against-ukraine/
146,Visuals of a fight between the forces of Russia and Ukraine,https://factly.in/multiple-gaming-videos-are-being-misconstrued-as-related-to-the-ongoing-russia-ukraine-crisis/
147,"""Modern Ukraine was entirely created by Russia or, to be more precise, by Bolshevik, Communist Russia.""",https://www.politifact.com/article/2022/feb/23/putins-one-sided-history-ukraines-relationship/
148,"Video shows troops at the Ukraine-Russia border on Jan. 27, 2022.",https://www.politifact.com/factchecks/2022/feb/01/tweets/old-video-mischaracterized-showing-troops-ukraine-/
149,"""According to reports, the U.S. Embassy provided $1 million a day to support the so-called protest camp on Independence Square in Kyiv.”",https://www.washingtonpost.com/politics/2022/02/23/fact-checking-putins-speech-ukraine/
150,"“As we know, it has already been stated today that Ukraine intends to create its own nuclear weapons, and this is not just bragging.”",https://www.washingtonpost.com/politics/2022/02/23/fact-checking-putins-speech-ukraine/
151,"“I will start with the fact that modern Ukraine was entirely created by Russia or, to be more precise, by Bolshevik, Communist Russia.”",https://www.washingtonpost.com/politics/2022/02/23/fact-checking-putins-speech-ukraine/
152,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",https://www.politifact.com/factchecks/2022/feb/22/marjorie-taylor-greene/marjorie-taylor-greene-falsely-claims-ukraine-was-/
153,Video of a fight between the forces of Russia and Ukraine (MiG-29 vs C-RAM),https://factly.in/a-gaming-video-is-being-shared-as-visuals-of-russia-vs-ukraine-mig-29-vs-c-ram-fight/
154,“Russia has never attacked anyone throughout its history.”,https://www.politifact.com/factchecks/2022/feb/21/dmitry-peskov/russian-spokesmans-statement-ignores-centuries-rus/
